Incident-Exp#,Alarm Date,Alarm Time,Location and Incident type
16-0001338-000,03/05/2016,21:33:23,"Kenwood RD CH/427 113 Cooking fire, confined to co"
19-0007738-000,11/22/2019,22:15:01,"Kenwood RD CH/Gramerc 100 Fire, Other"
17-0000893-000,02/13/2017,18:47:16,Kenwood RD CH 111 Building fire
17-0000133-000,01/07/2017,09:08:11,"Kenwood RD CH/Gramerc 113 Cooking fire, confined to co"
20-0002630-000,04/28/2020,05:20:04,"Kenwood RD CH 100 Fire, Other"
20-0003508-000,06/09/2020,00:24:04,"Kenwood RD CH/Gramerc 113 Cooking fire, confined to co"
18-0005483-000,08/29/2018,02:02:36,"Kenwood RD CH/Gramerc 113 Cooking fire, confined to co"
19-0003389-000,05/29/2019,12:13:27,"Kiler DR CH/305 113 Cooking fire, confined to co"
19-0007788-000,11/24/2019,19:23:10,"Kiler DR CH/Windcres 113 Cooking fire, confined to co"
19-0000568-000,01/25/2019,15:47:11,"Kiler DR CH/Windcres 113 Cooking fire, confined to co"
20-0007916-000,12/04/2020,19:21:46,W Kirby AVE /Champai 111 Building fire
20-0005481-000,08/28/2020,19:44:20,"W Kirby AVE CH/HESSEL 100 Fire, Other"
16-0000564-000,01/28/2016,18:43:29,"W Kirby AVE CH/C 100 Fire, Other"
16-0001605-000,03/18/2016,21:44:24,W Kirby AVE CH/Linco 111 Building fire
16-0001698-000,03/24/2016,10:39:24,W Kirby AVE CH/Linco 111 Building fire
19-0001747-000,03/15/2019,17:55:51,"W Kirby AVE CH/Champ 113 Cooking fire, confined to co"
19-0003686-000,06/11/2019,13:43:55,W Kirby AVE CH/B/Cha 111 Building fire
19-0000708-000,01/30/2019,18:51:45,"Lakeside DR CH/CAROL 113 Cooking fire, confined to co"
16-0000638-000,02/01/2016,13:05:48,"Lakeside DR CH/C 113 Cooking fire, confined to co"
20-0007860-000,12/02/2020,14:35:25,"Lakeside DR CH/JAN F 113 Cooking fire, confined to co"
20-0001006-000,02/12/2020,16:57:21,"Larkspur LN /Champai 113 Cooking fire, confined to co"
18-0000234-000,01/08/2018,17:25:26,Laura DR CH/Champaig 111 Building fire
18-0003499-000,05/28/2018,20:10:52,"Lauterbur LN CH/Champ 118 Trash or rubbish fire, conta"
18-0004503-000,07/15/2018,11:59:57,"Lawndale DR CH/Champ 118 Trash or rubbish fire, conta"
16-0002990-000,05/26/2016,20:22:57,"Lincolnshire DR CH/Ch 100 Fire, Other"
16-0006308-000,10/24/2016,17:18:07,"Lincolnshire DR CH/L 113 Cooking fire, confined to co"
17-0002539-000,05/04/2017,13:46:11,Linden DR CH 111 Building fire
17-0004177-000,07/17/2017,15:54:05,Lock Raven West RD C 111 Building fire
19-0001548-000,03/07/2019,22:25:13,Locust ST CH/West Hig 111 Building fire
18-0000654-000,01/25/2018,13:31:37,"Locust ST CH/The Cas 113 Cooking fire, confined to co"
20-0008212-000,12/18/2020,13:09:24,S Lynn ST CH/1 111 Building fire
16-0002863-000,05/20/2016,01:21:41,"S Lynn ST CH/2 113 Cooking fire, confined to co"
18-0003062-000,05/09/2018,19:41:16,S Lynn ST CH 111 Building fire
19-0007011-000,10/27/2019,14:14:47,Magnolia DR CH 111 Building fire
16-0000194-000,01/11/2016,18:26:35,Maple ST CH 111 Building fire
18-0003991-000,06/21/2018,07:08:06,"Maple ST CH 113 Cooking fire, confined to co"
18-0008230-000,12/25/2018,16:20:13,"Maple ST CH 113 Cooking fire, confined to co"
19-0002506-000,04/20/2019,22:33:40,"Maplepark DR CH/Champ 113 Cooking fire, confined to co"
16-0001667-000,03/22/2016,14:06:16,N Market ST CH 111 Building fire
18-0006134-000,09/24/2018,10:25:03,"N Market ST CH/Herff 100 Fire, Other"
17-0002828-000,05/17/2017,02:25:38,"N Market ST CH 113 Cooking fire, confined to co"
16-0000180-000,01/10/2016,23:54:01,N Market ST CH 111 Building fire
17-0000174-000,01/08/2017,16:18:53,"W Marketview DR CH/Ex 113 Cooking fire, confined to co"
19-0000175-000,01/08/2019,19:07:32,"W Marketview DR CH/5/ 113 Cooking fire, confined to co"
18-0004222-000,07/02/2018,12:22:52,"W Marketview DR CH/Fi 100 Fire, Other"
19-0005168-000,08/16/2019,11:52:34,"N Mattis AVE CH/Pizza 100 Fire, Other"
16-0002411-000,04/27/2016,20:27:38,"N Mattis AVE CH/Champ 113 Cooking fire, confined to co"
18-0002897-000,05/02/2018,15:04:26,N Mattis AVE CH 111 Building fire
17-0002817-000,05/16/2017,18:51:03,"N Mattis AVE CH/DERE 113 Cooking fire, confined to co"
16-0001514-000,03/14/2016,10:33:35,"N Mattis AVE CH/Cham 113 Cooking fire, confined to co"
17-0003749-000,06/29/2017,01:56:46,N Mattis AVE CH/Matt 111 Building fire
17-0003751-000,06/29/2017,06:06:42,N Mattis AVE CH/Matt 111 Building fire
17-0002452-000,04/30/2017,16:18:55,N Mattis AVE CH/303C 111 Building fire
17-0001657-000,03/23/2017,15:03:28,N Mattis AVE CH/Matt 111 Building fire
17-0001288-000,03/05/2017,14:00:19,S Mattis AVE CH/Champ 111 Building fire
17-0003162-000,05/31/2017,19:57:06,S Mattis AVE CH/O/Cha 111 Building fire
18-0006242-000,09/29/2018,11:26:06,S Mattis AVE CH/106/C 111 Building fire
16-0002369-000,04/25/2016,07:05:24,S Mattis AVE CH 111 Building fire
16-0000186-000,01/11/2016,13:15:46,"S Mattis AVE CH 113 Cooking fire, confined to co"
20-0006482-000,10/09/2020,02:21:04,S Mattis AVE CH/Conti 111 Building fire
20-0006487-000,10/09/2020,07:44:49,S Mattis AVE CH/2 111 Building fire
18-0007463-000,11/19/2018,10:15:02,S Mattis AVE CH/Conti 111 Building fire
19-0004256-000,07/06/2019,12:07:48,"S Mattis AVE CH/13/C 113 Cooking fire, confined to co"
17-0007886-000,12/26/2017,12:41:28,"S Mattis AVE CH/Pete 113 Cooking fire, confined to co"
18-0005294-000,08/21/2018,22:41:24,S Mattis AVE CH/Pete 111 Building fire
18-0007755-000,12/02/2018,18:00:39,"Mayfair RD CH/Champa 113 Cooking fire, confined to co"
18-0002245-000,04/04/2018,19:23:28,Meadow LN CH/Champai 111 Building fire
20-0004059-000,07/03/2020,18:23:46,"Melrose DR CH/Colony 100 Fire, Other"
17-0005099-000,08/28/2017,21:21:27,Mimosa DR CH/Champai 111 Building fire
18-0002960-000,05/05/2018,07:17:46,Mitchell CT CH/Champa 111 Building fire
17-0004570-000,08/05/2017,00:46:18,"Mitchell CT CH/F/Cham 113 Cooking fire, confined to co"
18-0006638-000,10/14/2018,23:13:18,"Moreland BLVD CH 113 Cooking fire, confined to co"
20-0006278-000,09/30/2020,19:09:09,"Moreland BLVD CH/Can 113 Cooking fire, confined to co"
17-0001387-000,03/10/2017,10:15:54,"Moreland BLVD CH/Nan 113 Cooking fire, confined to co"
17-0000876-000,02/12/2017,21:15:34,"Moreland BLVD CH/Nan 113 Cooking fire, confined to co"
17-0004722-000,08/13/2017,10:06:24,"Moreland BLVD CH/Bui 100 Fire, Other"
19-0000875-000,02/04/2019,21:29:53,"Moreland BLVD CH/Nan 113 Cooking fire, confined to co"
20-0007258-000,11/08/2020,12:49:12,"Nancy CT CH/1901 Nan 113 Cooking fire, confined to co"
18-0005158-000,08/16/2018,15:06:15,"Natalie DR CH/Champa 113 Cooking fire, confined to co"
17-0004104-000,07/14/2017,19:30:49,"Nathaniel Burch DR 100 Fire, Other"
19-0008360-000,12/18/2019,19:15:53,"N Neil ST CH/V. Picas 118 Trash or rubbish fire, conta"
17-0006995-000,11/15/2017,13:49:16,N Neil ST CH/Bank of 111 Building fire
18-0006416-000,10/06/2018,10:53:32,N Neil ST CH/105 111 Building fire
16-0000700-000,02/03/2016,21:51:52,"N Neil ST CH 100 Fire, Other"
17-0007401-000,12/03/2017,19:30:55,N Neil ST CH/Communit 111 Building fire
18-0008060-000,12/16/2018,19:34:23,N Neil ST CH 111 Building fire
18-0007380-000,11/15/2018,12:11:36,N Neil ST CH 111 Building fire
16-0005896-000,10/05/2016,11:29:59,"N Neil ST CH/Town Ce 113 Cooking fire, confined to co"
16-0006775-000,11/12/2016,15:22:42,"N Neil ST CH/Town Ce 113 Cooking fire, confined to co"
18-0004417-000,07/11/2018,20:55:06,N Neil ST CH 111 Building fire
16-0003069-001,05/30/2016,16:54:26,N Neil ST CH 111 Building fire
19-0006924-000,10/23/2019,19:54:11,"N Neil ST CH/303 113 Cooking fire, confined to co"
20-0005785-000,09/10/2020,20:51:46,"N Neil ST CH/Town Ce 100 Fire, Other"
16-0003069-000,05/30/2016,16:54:26,N Neil ST CH 111 Building fire
16-0003135-000,06/02/2016,16:35:58,"N Neil ST CH 100 Fire, Other"
16-0001625-000,03/20/2016,15:01:01,"N Neil ST CH/Town Ce 118 Trash or rubbish fire, conta"
17-0007857-000,12/24/2017,19:25:59,"N Neil ST CH/Town Ce 113 Cooking fire, confined to co"
19-0002857-000,05/06/2019,02:22:22,"N Neil ST CH/Town Ce 113 Cooking fire, confined to co"
17-0002642-000,05/09/2017,10:09:11,"N Neil ST CH/Town Ce 113 Cooking fire, confined to co"
16-0004386-000,08/02/2016,00:01:40,S Neil ST CH/Board Bo 111 Building fire
19-0003211-000,05/21/2019,20:24:53,"S Neil ST CH/Homewoo 113 Cooking fire, confined to co"
16-0002563-000,05/05/2016,09:10:32,"S Neil ST CH/Homewoo 113 Cooking fire, confined to co"
16-0000789-000,02/07/2016,23:06:28,"S Neil ST CH 113 Cooking fire, confined to co"
17-0002609-000,05/07/2017,11:40:00,"S Neil ST CH/Homewoo 113 Cooking fire, confined to co"
19-0007005-000,10/27/2019,12:20:20,"S Neil ST CH/McDonal 113 Cooking fire, confined to co"
19-0003850-000,06/19/2019,02:01:41,"S Neil ST CH/Home 2 113 Cooking fire, confined to co"
18-0003040-000,05/09/2018,07:35:47,"S Neil ST CH/Wendy's 113 Cooking fire, confined to co"
18-0001118-000,02/14/2018,10:24:19,"S Neil ST CH/Wendy's 100 Fire, Other"
19-0004271-000,07/07/2019,08:58:04,"S Neil ST CH/Moe's S 100 Fire, Other"
17-0000493-000,01/22/2017,12:12:13,S New ST CH 111 Building fire
17-0007957-000,12/29/2017,10:45:17,Nicklaus DR CH/Champ 111 Building fire
16-0000906-000,02/13/2016,08:18:08,"O'NEIL CT CH 100 Fire, Other"
16-0000425-000,01/22/2016,03:46:17,S Oak ST CH 111 Building fire
19-0002523-000,04/21/2019,13:46:46,S Oak ST CH/Rehabili 111 Building fire
17-0004371-000,07/25/2017,17:49:53,"Palmer DR CH/The Fla 113 Cooking fire, confined to co"
18-0003316-000,05/20/2018,06:53:02,"Palmer DR CH/The Fla 113 Cooking fire, confined to co"
16-0004790-000,08/19/2016,21:56:56,"Palmer DR CH 113 Cooking fire, confined to co"
18-0003984-000,06/20/2018,21:47:42,"E Park AVE CH/URBAN P 113 Cooking fire, confined to co"
19-0000781-000,02/01/2019,15:06:58,"E Park AVE CH/206 113 Cooking fire, confined to co"
17-0007879-000,12/26/2017,04:34:37,Park Haven DR CH 111 Building fire
17-0002626-000,05/08/2017,05:48:28,Parkdale DR CH/Champ 111 Building fire
16-0000856-000,02/11/2016,02:13:42,"Peabody DR CH/UI#0079 118 Trash or rubbish fire, conta"
19-0008258-000,12/14/2019,19:16:14,"Peach ST CH/KAREN JO 113 Cooking fire, confined to co"
20-0000246-000,01/12/2020,01:16:31,Peach ST CH 111 Building fire
16-0000974-000,02/16/2016,19:47:34,Pebblebrook LA E/Cha 111 Building fire
20-0008088-000,12/12/2020,18:57:40,"Pebblebrook LA E/Cha 114 Chimney or flue fire, confin"
20-0006371-000,10/04/2020,15:02:49,"Pebblebrook LA E/Cha 113 Cooking fire, confined to co"
20-0008208-000,12/18/2020,11:17:54,"Phillips DR CH 113 Cooking fire, confined to co"
20-0001417-000,02/29/2020,22:02:48,Pomona DR CH/Tuscany 111 Building fire
16-0005853-000,10/03/2016,14:28:50,"N Prairie ST CH/306 113 Cooking fire, confined to co"
17-0007074-000,11/19/2017,05:57:10,"S Prairie ST CH/103 113 Cooking fire, confined to co"
20-0000303-000,01/14/2020,18:41:28,"N Prospect AVE CH 100 Fire, Other"
17-0002910-000,05/20/2017,10:38:48,"N Prospect AVE CH/Ji 118 Trash or rubbish fire, conta"
16-0000888-000,02/12/2016,12:31:51,"N Prospect AVE CH/Ch 113 Cooking fire, confined to co"
19-0004686-000,07/26/2019,17:34:50,N Prospect AVE CH 112 Fires in structure other tha
16-0000119-000,01/07/2016,14:41:54,S Prospect AVE CH 111 Building fire
17-0005889-000,09/30/2017,19:25:21,"Providence CIR CH 100 Fire, Other"
17-0003464-000,06/14/2017,20:39:15,"Queens WAY CH/A/Cham 113 Cooking fire, confined to co"
18-0004357-000,07/09/2018,07:48:03,Quince DR CH 111 Building fire
19-0005925-000,09/15/2019,03:55:47,Raintree DR CH 121 Fire in mobile home used as
17-0000852-000,02/11/2017,16:28:11,Raintree DR CH 111 Building fire
16-0000963-000,02/16/2016,10:42:32,"N Randolph ST CH/Stra 118 Trash or rubbish fire, conta"
17-0001996-000,04/09/2017,13:23:05,"S Randolph ST CH/Gree 113 Cooking fire, confined to co"
18-0002750-000,04/27/2018,18:06:21,S Randolph ST CH/Gree 111 Building fire
19-0006494-000,10/06/2019,15:26:26,S Randolph ST CH/717 111 Building fire
20-0004617-000,07/25/2020,13:56:01,"Rebecca DR CH/Champa 113 Cooking fire, confined to co"
18-0008284-000,12/28/2018,10:42:46,Rebecca DR CH/Champa 111 Building fire
16-0004378-000,08/01/2016,15:58:49,Research RD CH/6/Cha 111 Building fire
17-0007968-000,12/29/2017,18:20:02,"Ridgeland DR CH/Cham 113 Cooking fire, confined to co"
17-0005749-000,09/25/2017,17:39:34,Ridgewood DR CH/Cham 111 Building fire
20-0003050-000,05/18/2020,20:48:20,"Ridgewood DR CH/Cham 113 Cooking fire, confined to co"
20-0001290-000,02/24/2020,22:24:10,"Ridgewood DR CH/Cham 100 Fire, Other"
18-0006123-000,09/24/2018,01:04:34,Ridgewood DR CH/Cham 111 Building fire
16-0003029-000,05/28/2016,17:46:35,"Rion DR CH/Champaign 100 Fire, Other"
20-0006656-000,10/15/2020,08:58:57,"Robert DR CH/Champai 113 Cooking fire, confined to co"
20-0004701-000,07/28/2020,20:08:12,"Robert DR CH/Champai 113 Cooking fire, confined to co"
18-0003091-000,05/10/2018,19:29:34,"Roberta AVE CH/Champ 113 Cooking fire, confined to co"
19-0001386-000,02/28/2019,21:24:29,Roberta AVE CH/Champ 111 Building fire
20-0004095-000,07/05/2020,03:34:39,Rockdale DR CH/Champ 111 Building fire
17-0004011-000,07/11/2017,05:20:52,"Rodney DR CH/Champai 113 Cooking fire, confined to co"
16-0007060-000,11/24/2016,19:25:17,Roper ST CH 111 Building fire
17-0005443-000,09/12/2017,11:57:33,Sandalwood DR CH 111 Building fire
20-0007968-000,12/06/2020,21:53:27,Sangamon DR CH/A/Cha 111 Building fire
18-0007614-000,11/27/2018,10:25:29,Sangamon DR CH/SHOLE 111 Building fire
20-0003019-000,05/17/2020,17:45:48,"Scottsdale CT CH/Cha 113 Cooking fire, confined to co"
20-0002667-000,04/29/2020,21:01:16,"Scottsdale DR CH/Cham 100 Fire, Other"
18-0007796-000,12/04/2018,18:52:20,Scottsdale DR CH/Cha 111 Building fire
20-0003964-000,06/29/2020,19:54:03,"Scottsdale DR CH/Cha 113 Cooking fire, confined to co"
16-0001169-000,02/26/2016,13:33:50,Scottsdale DR CH/Cha 111 Building fire
16-0000028-000,01/02/2016,23:11:59,"Scottsdale DR CH/Cha 114 Chimney or flue fire, confin"
17-0001634-000,03/22/2017,01:06:24,"S Second ST CH/Skelto 113 Cooking fire, confined to co"
16-0003588-000,06/24/2016,18:33:35,"S Second ST CH/Allen 113 Cooking fire, confined to co"
16-0004934-000,08/26/2016,21:24:45,"S Second ST CH/Phi S 113 Cooking fire, confined to co"
18-0006211-000,09/27/2018,22:52:00,"S Second ST CH 100 Fire, Other"
20-0006506-000,10/09/2020,21:00:29,"Sharon DR CH/Champai 100 Fire, Other"
18-0002632-000,04/22/2018,16:44:30,"Sheffield RD CH/Cham 113 Cooking fire, confined to co"
19-0000243-000,01/11/2019,13:19:30,Sherwood CT CH 111 Building fire
19-0008436-000,12/21/2019,23:17:31,Sherwood CT CH 111 Building fire
19-0000016-000,01/01/2019,12:29:00,"N Sixth ST CH 113 Cooking fire, confined to co"
20-0005237-000,08/19/2020,19:03:18,N Sixth ST CH 111 Building fire
16-0006817-000,11/14/2016,11:52:16,"S Sixth ST CH/La Tea; 113 Cooking fire, confined to co"
16-0002311-000,04/22/2016,19:18:25,"S Sixth ST CH/105 113 Cooking fire, confined to co"
18-0008236-000,12/26/2018,03:03:30,S Sixth ST CH/Lando B 111 Building fire
20-0006268-000,09/30/2020,10:14:45,"S Sixth ST CH/Fire Ha 113 Cooking fire, confined to co"
17-0007188-000,11/24/2017,17:00:19,"Southmoor DR CH/Robe 100 Fire, Other"
19-0008501-000,12/25/2019,10:47:13,"Southwood DR CH/Cham 100 Fire, Other"
16-0003341-000,06/13/2016,22:41:56,Southwood DR CH/Cham 111 Building fire
18-0007304-000,11/12/2018,17:23:19,Springer DR CH/Champ 115 Incinerator overload or malf
16-0000834-000,02/09/2016,14:00:59,"E Springfield AVE CH/ 113 Cooking fire, confined to co"
19-0001729-000,03/15/2019,04:14:20,"E Springfield AVE CH/ 113 Cooking fire, confined to co"
20-0006789-000,10/20/2020,22:56:21,"W Springfield AVE CH 118 Trash or rubbish fire, conta"
17-0001989-000,04/08/2017,19:58:07,"W Springfield AVE CH 113 Cooking fire, confined to co"
16-0000219-000,01/12/2016,17:22:01,W Springfield AVE CH 111 Building fire
18-0000167-000,01/06/2018,05:12:37,"W Springfield AVE CH 113 Cooking fire, confined to co"
17-0001011-000,02/19/2017,05:13:19,"W Springfield AVE CH 113 Cooking fire, confined to co"
17-0007215-000,11/25/2017,17:10:03,"W Springfield AVE CH 113 Cooking fire, confined to co"
16-0007860-000,12/28/2016,03:53:22,"W Springfield AVE CH 113 Cooking fire, confined to co"
18-0000774-000,01/30/2018,15:43:35,"W Springfield AVE CH 113 Cooking fire, confined to co"
20-0004676-000,07/27/2020,22:50:19,"W Springfield AVE CH 113 Cooking fire, confined to co"
18-0000613-000,01/23/2018,16:49:21,N State ST CH/Emmanue 111 Building fire
16-0007614-000,12/17/2016,20:52:41,S State ST CH/6/Champ 111 Building fire
18-0003496-000,05/28/2018,10:40:00,"Stillwater DR CH/Cha 113 Cooking fire, confined to co"
20-0001369-000,02/27/2020,19:38:32,"Stoneway CT CH/Champ 113 Cooking fire, confined to co"
16-0004002-000,07/14/2016,07:47:13,"Stoughton ST CH/Count 100 Fire, Other"
18-0007032-000,11/01/2018,00:08:18,Stoughton ST CH/408 E 111 Building fire
18-0000495-000,01/19/2018,02:52:35,Stoughton ST CH/203 111 Building fire
19-0007888-000,11/28/2019,14:53:51,"Strand DR CH/Champai 114 Chimney or flue fire, confin"
18-0008123-000,12/19/2018,22:18:42,"Strand DR CH/Champai 113 Cooking fire, confined to co"
19-0003338-000,05/26/2019,17:34:16,"Stratford DR CH/Cham 100 Fire, Other"
18-0003806-000,06/11/2018,23:39:27,"Stratford DR CH/Kenw 100 Fire, Other"
19-0006267-000,09/27/2019,11:37:11,"Summit Ridge RD CH/C 113 Cooking fire, confined to co"
16-0006494-000,11/01/2016,15:04:27,Sunset DR CH 111 Building fire
17-0000824-000,02/10/2017,04:39:00,Swigart ST CH/Champai 111 Building fire
17-0000806-000,02/09/2017,11:50:53,"Tamarack CT CH/HUBER 113 Cooking fire, confined to co"
17-0002586-000,05/06/2017,11:34:41,"Tamarack CT CH/Champ 113 Cooking fire, confined to co"
19-0000611-000,01/26/2019,18:04:49,"Tamarack CT CH/Champ 113 Cooking fire, confined to co"
18-0002453-000,04/14/2018,18:30:56,Tamarack DR CH/Champ 111 Building fire
17-0005681-001,09/22/2017,17:03:26,"N Third ST CH 122 Fire in motor home, camper,"
17-0005681-002,09/22/2017,17:03:26,"N Third ST CH 122 Fire in motor home, camper,"
17-0005681-003,09/22/2017,17:03:26,"N Third ST CH 122 Fire in motor home, camper,"
17-0005681-000,09/22/2017,17:03:26,"N Third ST CH 122 Fire in motor home, camper,"
16-0003354-000,06/14/2016,14:14:41,"S Third ST CH 113 Cooking fire, confined to co"
18-0002501-000,04/17/2018,01:11:36,"S Third ST CH/UNIVERS 113 Cooking fire, confined to co"
19-0003564-000,06/05/2019,21:44:30,"S Third ST CH/The Sui 113 Cooking fire, confined to co"
20-0003646-000,06/14/2020,17:49:43,"S Third ST CH/The Sui 113 Cooking fire, confined to co"
16-0006821-000,11/14/2016,12:49:33,"S Third ST CH/Evans 113 Cooking fire, confined to co"
16-0001306-000,03/04/2016,17:33:49,"S Third ST CH/Evans 113 Cooking fire, confined to co"
17-0003306-000,06/07/2017,16:25:35,"Thornhill DR CH/Cham 100 Fire, Other"
20-0008073-000,12/11/2020,22:55:33,Thornhill DR CH/Cham 111 Building fire
20-0007260-000,11/08/2020,14:22:01,"Thornton DR CH/Champ 100 Fire, Other"
17-0000394-000,01/17/2017,23:33:38,"Town Center BLVD CH 100 Fire, Other"
19-0004632-000,07/24/2019,18:40:15,Town Center BLVD CH/D 111 Building fire
19-0002880-000,05/06/2019,17:25:26,"Town Center BLVD CH 113 Cooking fire, confined to co"
18-0002827-000,04/30/2018,17:05:55,Tudor CT CH/B/Champaign 111 Building fire
20-0008344-000,12/25/2020,01:05:28,Union ST CH/Champaig 111 Building fire
20-0002120-000,04/01/2020,00:56:46,Union ST CH/Champaig 111 Building fire
19-0001662-000,03/12/2019,15:17:19,E University AVE CH/Di 111 Building fire
17-0007420-000,12/04/2017,11:58:55,"E University AVE CH/M 113 Cooking fire, confined to co"
19-0003342-000,05/26/2019,19:02:18,"E University AVE CH/L 113 Cooking fire, confined to co"
17-0007576-000,12/10/2017,23:32:48,"E University AVE CH/L 113 Cooking fire, confined to co"
16-0004931-000,08/26/2016,17:28:12,"E University AVE CH/L 113 Cooking fire, confined to co"
20-0002489-000,04/19/2020,18:55:20,"E University AVE CH/L 113 Cooking fire, confined to co"
16-0007243-000,12/03/2016,17:44:59,"E University AVE CH/L 113 Cooking fire, confined to co"
16-0006067-000,10/14/2016,03:20:18,"E University AVE CH/L 113 Cooking fire, confined to co"
16-0003315-000,06/12/2016,15:43:07,"W University AVE CH/C 113 Cooking fire, confined to co"
20-0002635-000,04/28/2020,10:35:40,"W University AVE CH/ 113 Cooking fire, confined to co"
18-0005920-000,09/16/2018,10:03:02,"Valley RD CH/Hessel 100 Fire, Other"
17-0006005-000,10/05/2017,21:07:07,"Valley RD CH/Hessel 113 Cooking fire, confined to co"
17-0005856-000,09/29/2017,17:05:10,Valley RD CH/Hessel 111 Building fire
19-0001206-000,02/20/2019,16:24:54,Valley RD CH/Hessel 111 Building fire
17-0007756-000,12/18/2017,18:21:30,"Valley RD CH/A 113 Cooking fire, confined to co"
20-0002709-000,05/01/2020,21:44:47,"Ventura RD CH 113 Cooking fire, confined to co"
16-0002783-000,05/15/2016,15:13:29,Victor ST CH/Champaig 111 Building fire
18-0005570-000,09/01/2018,13:07:51,"E Vine ST CH 118 Trash or rubbish fire, conta"
18-0002814-000,04/30/2018,05:43:26,W Vine ST CH 111 Building fire
20-0001639-000,03/08/2020,11:14:50,"W Vine ST CH 100 Fire, Other"
19-0008193-000,12/12/2019,05:48:41,W Vine ST CH/Champaig 111 Building fire
17-0002268-000,04/22/2017,04:41:13,"N Walnut ST CH 100 Fire, Other"
20-0002407-000,04/14/2020,16:43:08,"E Washington ST 100 Fire, Other"
16-0003059-000,05/30/2016,06:27:02,E Washington ST CH 111 Building fire
17-0001298-000,03/06/2017,02:10:05,"W Washington ST CH/Wa 113 Cooking fire, confined to co"
17-0005227-000,09/03/2017,14:37:48,"W Washington ST CH/Wa 113 Cooking fire, confined to co"
19-0004939-000,08/06/2019,22:48:36,"W Washington ST CH/Wa 113 Cooking fire, confined to co"
19-0006069-000,09/19/2019,20:28:16,W Washington ST CH 111 Building fire
16-0007870-000,12/28/2016,12:19:45,W Washington ST CH 111 Building fire
16-0002885-000,05/20/2016,20:48:01,W Washington ST CH/C 111 Building fire
17-0003460-000,06/14/2017,15:59:44,"Waterview WAY CH/G/Ch 113 Cooking fire, confined to co"
19-0003691-000,06/11/2019,19:31:43,"Waverly DR CH/Champa 113 Cooking fire, confined to co"
18-0004223-000,07/02/2018,12:57:30,"Wendover PL CH/Champ 113 Cooking fire, confined to co"
17-0002169-000,04/17/2017,22:42:08,Wendover PL CH/Champ 111 Building fire
17-0007075-000,11/19/2017,06:06:19,West Haven DR CH 111 Building fire
20-0000211-000,01/10/2020,15:22:10,Western AVE CH/Champ 111 Building fire
16-0000317-000,01/17/2016,18:23:36,"E White ST CH 113 Cooking fire, confined to co"
16-0007156-000,11/29/2016,20:26:15,"E White ST CH/14 113 Cooking fire, confined to co"
17-0000734-000,02/05/2017,02:53:10,"E White ST CH/607 E. 113 Cooking fire, confined to co"
17-0001855-000,04/01/2017,20:46:52,"W White ST CH/New Cov 100 Fire, Other"
17-0006062-000,10/08/2017,05:04:03,"W White ST CH 113 Cooking fire, confined to co"
17-0003382-000,06/11/2017,01:51:26,"W White ST CH/403 W. 113 Cooking fire, confined to co"
18-0002990-000,05/06/2018,08:12:56,"W White ST CH 113 Cooking fire, confined to co"
16-0000872-000,02/11/2016,14:57:53,"W White ST CH/Champa 113 Cooking fire, confined to co"
19-0001810-000,03/18/2019,23:49:00,"W White ST CH 113 Cooking fire, confined to co"
16-0005433-000,09/16/2016,14:06:56,W White ST CH/Gramer 111 Building fire
17-0007740-000,12/18/2017,00:28:45,"W White ST CH/Gramer 113 Cooking fire, confined to co"
20-0002969-000,05/15/2020,14:53:08,W White ST CH/Gramer 111 Building fire
20-0002399-000,04/14/2020,01:45:43,"W White ST CH/Gramer 113 Cooking fire, confined to co"
16-0001547-000,03/15/2016,20:59:00,"W White ST CH/201 113 Cooking fire, confined to co"
19-0006777-000,10/18/2019,02:28:01,W White ST CH/Gramer 111 Building fire
19-0003733-000,06/13/2019,12:00:01,"William ST CH/Champai 113 Cooking fire, confined to co"
20-0004950-000,08/08/2020,22:20:10,"William ST CH/Contin 118 Trash or rubbish fire, conta"
19-0003138-000,05/17/2019,22:03:27,"William ST CH 114 Chimney or flue fire, confin"
16-0003932-000,07/11/2016,15:41:35,N Willis AVE CH/Champ 111 Building fire
16-0003407-000,06/16/2016,22:27:23,N Willis AVE CH/Cham 111 Building fire
20-0006050-000,09/21/2020,19:16:39,"Willowpark DR CH/Cha 113 Cooking fire, confined to co"
18-0002719-000,04/26/2018,13:07:54,Winding LN CH/Champa 111 Building fire
18-0004016-000,06/22/2018,10:56:48,W Windsor RD CH/Wind 111 Building fire
18-0001831-000,03/16/2018,19:51:30,W Windsor RD CH/New 121 Fire in mobile home used as
18-0004289-000,07/05/2018,03:46:05,W Windsor RD CH/New 111 Building fire
20-0002508-000,04/20/2020,15:01:10,"W Windsor RD CH/Cham 100 Fire, Other"
16-0005155-000,09/05/2016,04:10:02,W Windsor RD CH/New 112 Fires in structure other tha
17-0003132-000,05/30/2017,15:05:35,"W Windsor RD CH/New 100 Fire, Other"
18-0000236-000,01/08/2018,17:39:15,"Woodridge RD CH 113 Cooking fire, confined to co"
17-0002307-000,04/23/2017,20:17:27,"S Wright ST CH 113 Cooking fire, confined to co"
16-0002206-000,04/18/2016,03:03:04,York DR CH/Champaign 111 Building fire
20-0008319-000,12/24/2020,05:52:06,"York DR CH/Champaign 113 Cooking fire, confined to co"
19-0005654-000,09/05/2019,03:58:28,"York DR CH/Champaign 113 Cooking fire, confined to co"
